POI TYPE,CODE
ACCOMMO_ALPINEHUT,1
ACCOMMO_CAMPING,2
ACCOMMO_CARAVAN,3
ACCOMMO_CHALET,4
ACCOMMO_HOSTEL,5
ACCOMMO_HOTEL,6
ACCOMMO_MOTEL,7
,
AMENITY_COURT,8
AMENITY_FIRESTATION,9
AMENITY_LIBRARY,11
AMENITY_PLAYGROUND,12
AMENITY_POLICE,13
AMENITY_POSTOFFICE,14
AMENITY_PRISON,15
AMENITY_PUBLICBUILDING,16
AMENITY_TOWNHALL,17
,
BARRIER_BLOCKS,18
,	
EDUCATION_COLLEGE,19
EDUCATION_NURSERY,20
EDUCATION_SCHOOL,21
EDUCATION_UNIVERSITY,22
,	
FOOD_BAR,23
FOOD_BIERGARTEN,24
FOOD_CAFE,25
FOOD_FASTFOOD,26
FOOD_ICECREAM,27
FOOD_PUB,28
FOOD_RESTAURANT,29
,
HEALTH_DENTIST,30
HEALTH_DOCTORS,31
HEALTH_HOSPITALEMERGENCY,32
HEALTH_HOSPITAL,33
HEALTH_PHARMACY,34
HEALTH_VETERINARY,35
,	
LANDUSE_ALLOTMENTS,36
LANDUSE_CONIFEROUSDECIDUOUS,37
LANDUSE_CONIFEROUS,38
LANDUSE_DECIDUOUS,39
LANDUSE_GRASS,40
LANDUSE_HILLS,41
LANDUSE_MILITARY,42
LANDUSE_QUARY,43
LANDUSE_SCRUB,44
LANDUSE_SWAMP,45
,
MONEY_BANK,46
MONEY_EXCHANGE,47
,	
POW_BAHAI,48
POW_BUDDHIST,49
POW_CHRISTIAN,50
POW_HINDU,51
POW_ISLAMIC,52
POW_JAIN,53
POW_JEWISH,54
POW_SHINTO,55
POW_SIKH,56
POW_UNKOWN,58
,	
POI_CAVE,59
POI_CRANE,60
POI_EMBASSY,61
POI_BUNKER,62
POI_MINE,63
POI_PEAK1,64
POI_PEAK,65
POI_CITY,66
POI_HAMLET,67
POI_SUBURB,68
POI_TOWN,69
POI_VILLAGE,70
POI_TOWERCOMMUNICATION,71
POI_TOWERLOOKOUT,72
,	
SHOP_ALCOHOL,73
SHOP_BAKERY,74
SHOP_BICYCLE,75
SHOP_BOOK,76
SHOP_BUTCHER,77
SHOP_CARREPAIR,78
SHOP_CAR,79
SHOP_CLOTHES,80
SHOP_COMPUTER,81
SHOP_CONFECTIONERY,82
SHOP_CONVENIENCE,83
SHOP_COPYSHOP,84
SHOP_DEPARTMENTSTORE,85
SHOP_DIY,86
SHOP_FISH,87
SHOP_FLORIST,88
SHOP_GARDENCENTRE,89
SHOP_GIFT,90
SHOP_GREENGROCER,91
SHOP_HAIRDRESSER,92
SHOP_HEARINGAIDS,93
SHOP_HIFI,94
SHOP_JEWELRY,95
SHOP_KIOSK,96
SHOP_LAUNDRETTE,97
SHOP_MARKETPLACE,98
SHOP_PHONE,99
SHOP_MOTORCYCLE,100
SHOP_MUSIC,101
SHOP_NEWSPAPER,102
SHOP_PET,103
SHOP_SHOES,104
SHOP_SUPERMARKET,105
SHOP_TOBACCO,106
SHOP_TOYS,107
SHOP_VENDINGMASCHINE,108
SHOP_VIDEORENTAL,109
,	
SPORT_ARCHERY,110
SPORT_BASEBALL,111
SPORT_BASKETBALL,112
SPORT_BOWLING,113
SPORT_CANOE,114
SPORT_CRICKET,115
SPORT_DIVING,116
SPORT_FOOTBALL,117
SPORT_GOLF,118
SPORT_GYM,119
SPORT_GYMNASIUM,120
SPORT_CLIMBING,121
SPORT_HORSE,122
SPORT_ICESKATING,123
SPORT_LEISURECENTER,124
SPORT_MINIATURGOLF,125
SPORT_MOTORRACING,126
SPORT_SHOOTING,127
SPORT_SKATING,128
SPORT_SKIINGDOWNHILL,129
SPORT_SNOOKER,130
SPORT_SOCCER,131
SPORT_STADIUM,132
SPORT_SWIMMING,133
SPORT_TENNIS,134
SPORT_WATERSKI,135
SPORT_SURFING,136
,	
TOURIST_ARCHAELOGICAL,137
TOURIST_ART,138
TOURIST_ATTRACTION,139
TOURIST_BATTLEFIELD,140
TOURIST_BEACH,141
TOURIST_CASTLE,142
TOURIST_CASTLE2,143
TOURIST_CINEMA,144
TOURIST_FOUNTAIN,145
TOURIST_INFORMATION,146
TOURIST_MEMORIAL,147
TOURIST_MONUMENT,148
TOURIST_MUSEUM,149
TOURIST_NIGHTCLUB,150
TOURIST_RUINS,151
TOURIST_THEATRE,152
TOURIST_THEMEPARK,153
TOURIST_WINDMILL,156
TOURIST_WRECK,157
TOURIST_ZOO,158
,
TRANSPORT_TERMINAL,159
TRANSPORT_AIRPORT,160
TRANSPORT_BUSSTOP,161
TRANSPORT_FUEL,162
TRANSPORT_LIGHTHOUSE,163
TRANSPORT_MARINA,164
TRANSPORT_RENTALCAR,165
TRANSPORT_SUBWAY,166
TRANSPORT_STATION,167
TRANSPORT_TRAMSTOP,168
,
WATER_DAM,169
WATER_TOWER,170
WATER_WEIR,171
